t,y
0,-41.72362556
0.041666667,-57.28846603
0.083333333,-85.56700997
0.125,-97.48084773
0.166666667,-107.7449949
0.208333333,-116.2061259
0.25,-127.2973003
0.291666667,-129.310837
0.333333333,-128.3549316
0.375,-124.5555642
0.416666667,-108.5402915
0.458333333,-97.67856396
0.5,-85.37181311
0.541666667,-71.90548486
0.583333333,-43.38233759
0.625,-28.3680611
0.666666667,-13.73319492
0.708333333,0.207346663
0.75,21.74339619
0.791666667,28.64289088
0.833333333,32.91355184
0.875,34.71515573
0.916666667,30.19293102
0.958333333,23.92670114
1,14.42853333
1.041666667,2.496175757
1.083333333,-25.85510345
1.125,-41.04419938
1.166666667,-56.24238935
1.208333333,-70.99257788
1.25,-98.14095247
1.291666667,-109.7026022
1.333333333,-119.2165639
1.375,-126.2582863
1.416666667,-132.4793035
1.458333333,-131.7720258
1.5,-127.9146788
1.541666667,-122.0225625
1.583333333,-104.6401744
1.625,-93.67883979
1.666666667,-80.90293138
1.708333333,-66.80669553
1.75,-37.26501172
1.791666667,-23.12444293
1.833333333,-10.01520731
1.875,1.409684488
1.916666667,18.96074683
1.958333333,24.48967827
2,27.17932804
2.041666667,27.25089748
2.083333333,17.36761569
2.125,8.17940389
2.166666667,-2.961713053
2.208333333,-15.58662178
2.25,-44.18996152
2.291666667,-59.83820957
2.333333333,-75.70031286
2.375,-90.74076575
2.416666667,-116.2582044
2.458333333,-126.3696312
2.5,-134.2649716
2.541666667,-139.7936639
2.583333333,-143.0060458
2.625,-140.8380571
2.666666667,-136.3339149
2.708333333,-129.5000664
2.75,-108.8496746
2.791666667,-95.89115555
2.833333333,-82.02744411
2.875,-67.67226968
2.916666667,-38.85281147
2.958333333,-25.1547714
3,-12.6578198
3.041666667,-1.757679018
3.083333333,12.98266467
3.125,16.22676862
3.166666667,16.38830773
3.208333333,14.02759943
3.25,1.639245653
3.291666667,-8.139339247
3.333333333,-20.10721974
3.375,-33.7353135
3.416666667,-64.3029435
3.458333333,-79.82313257
3.5,-94.51274822
3.541666667,-108.0306642
3.583333333,-130.6784014
3.625,-139.4315789
3.666666667,-145.7603545
